q_pip,q_dip,q_linkage_base,q_linkage_distal
3.804817769347638157e-01,-7.983110750607873563e-01,-6.962442626245151089e-01,4.825485893710359520e-01
3.822271061867581476e-01,-8.011134846588561231e-01,-6.988177966627580062e-01,4.845227941828564866e-01
3.839724354387524796e-01,-8.039105533033672479e-01,-7.013867838776830510e-01,4.864962048644372317e-01
3.857177646907468116e-01,-8.067022977161806274e-01,-7.039512341640365989e-01,4.884688282428908401e-01
3.874630939427411436e-01,-8.094887345200678652e-01,-7.065111573907691955e-01,4.904406710720401463e-01
3.892084231947354755e-01,-8.122698802401018270e-01,-7.090665634013726404e-01,4.924117400334644401e-01
3.909537524467298075e-01,-8.150457513050151093e-01,-7.116174620142134977e-01,4.943820417375315301e-01
3.926990816987240840e-01,-8.178163640485371921e-01,-7.141638630228568374e-01,4.963515827244044942e-01
3.944444109507184160e-01,-8.205817347107080550e-01,-7.167057761963815388e-01,4.983203694650448767e-01
3.961897402027127479e-01,-8.233418794391589302e-01,-7.192432112796884880e-01,5.002884083621834677e-01
3.979350694547070799e-01,-8.260968142903704070e-01,-7.217761779937950095e-01,5.022557057512821999e-01
3.996803987067014119e-01,-8.288465552309109974e-01,-7.243046860361306294e-01,5.042222679014818354e-01
4.014257279586957439e-01,-8.315911181386446138e-01,-7.268287450808168515e-01,5.061881010165234507e-01
4.031710572106900758e-01,-8.343305188039211728e-01,-7.293483647789447133e-01,5.081532112356663689e-01
4.049163864626844078e-01,-8.370647729307370000e-01,-7.318635547588399071e-01,5.101176046345816673e-01
4.066617157146787398e-01,-8.397938961378823564e-01,-7.343743246263274571e-01,5.120812872262336946e-01
4.084070449666730718e-01,-8.425179039600565467e-01,-7.368806839649817420e-01,5.140442649617473769e-01
4.101523742186674037e-01,-8.452368118489723692e-01,-7.393826423363787370e-01,5.160065437312613135e-01
4.118977034706617357e-01,-8.479506351744277026e-01,-7.418802092803291615e-01,5.179681293647604434e-01
4.136430327226560677e-01,-8.506593892253691003e-01,-7.443733943151196186e-01,5.199290276329060490e-01
4.153883619746503997e-01,-8.533630892109238530e-01,-7.468622069377346406e-01,5.218892442478395566e-01
4.171336912266447317e-01,-8.560617502614249474e-01,-7.493466566240831739e-01,5.238487848639863387e-01
4.188790204786390636e-01,-8.587553874293991640e-01,-7.518267528292090773e-01,5.258076550788288728e-01
4.206243497306333956e-01,-8.614440156905565082e-01,-7.543025049875038412e-01,5.277658604336861181e-01
4.223696789826277276e-01,-8.641276499447481108e-01,-7.567739225129086478e-01,5.297234064144671351e-01
4.241150082346220596e-01,-8.668063050169076966e-01,-7.592410147991142111e-01,5.316802984524153786e-01
4.258603374866163915e-01,-8.694799956579783995e-01,-7.617037912197508476e-01,5.336365419248441100e-01
4.276056667386107235e-01,-8.721487365458231444e-01,-7.641622611285781019e-01,5.355921421558558215e-01
4.293509959906050000e-01,-8.748125422861132705e-01,-7.666164338596672678e-01,5.375471044170510027e-01
4.310963252425993320e-01,-8.774714274132073832e-01,-7.690663187275763590e-01,5.395014339282306892e-01
4.328416544945936639e-01,-8.801254063910057823e-01,-7.715119250275246365e-01,5.414551358580750318e-01
4.345869837465879959e-01,-8.827744936137946752e-01,-7.739532620355573656e-01,5.434082153248249725e-01
4.363323129985823279e-01,-8.854187034070752915e-01,-7.763903390087105727e-01,5.453606773969470467e-01
4.380776422505766599e-01,-8.880580500283761225e-01,-7.788231651851695858e-01,5.473125270937826414e-01
4.398229715025709918e-01,-8.906925476680478404e-01,-7.812517497844213565e-01,5.492637693861976977e-01
4.415683007545653238e-01,-8.933222104500497807e-01,-7.836761020074032302e-01,5.512144091972119853e-01
